vocab_id,syllabus_order,level_min,level_max,level_raw,additional_levels,hanzi,syllabus_form,sense_number,syllabus_pinyin,pinyin,pinyin_search,pinyin_numeric,syllabus_part_of_speech_zh,part_of_speech_zh,example_zh,example_review_status,curation_status,source_id,source_locator,notes
hsk26-v01426,1426,4,4,4,,科学,科学,,kēxué,kēxué,kēxué,,名、形,名、形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3154,
hsk26-v01427,1427,4,4,4,,咳,咳,,ké,ké,ké,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3155,
hsk26-v01428,1428,4,4,4,,咳嗽,咳嗽,,késou,késou,késou,,动,动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3156,
hsk26-v01429,1429,4,4,4,,可惜,可惜,,kěxī,kěxī,kěxī,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3157,
hsk26-v01430,1430,4,4,4,,克,克,,kè,kè,kè,,量,量,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3158,
hsk26-v01431,1431,4,4,4,,课程,课程,,kèchéng,kèchéng,kèchéng,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3159,
hsk26-v01432,1432,4,4,4,,客气,客气,,kèqi,kèqi,kèqi,,形、动,形、动,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3160,
hsk26-v01433,1433,4,4,4,,课堂,课堂,,kètáng,kètáng,kètáng,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3161,
hsk26-v01434,1434,4,4,4,,客厅,客厅,,kètīng,kètīng,kètīng,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3162,
hsk26-v01435,1435,4,4,4,,肯定,肯定,,kěndìng,kěndìng,kěndìng,,动、形、副,动、形、副,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3163,
hsk26-v01436,1436,4,4,4（5）,5,空,空,,kōng,kōng,kōng,,形、（副）,形、（副）,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3164,
hsk26-v01437,1437,4,4,4,,空气,空气,,kōngqì,kōngqì,kōngqì,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3165,
hsk26-v01438,1438,4,4,4,,恐怕,恐怕,,kǒngpà,kǒngpà,kǒngpà,,动、副,动、副,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3166,
