grammar_lesson_id,grammar_element_id,relation_role,relation_order,review_status,notes
glesson_366fff0d896542d0921adc449244e8df,gelement_faa0da1579d943abad220a0f61114147,primary,5,approved,
glesson_366fff0d896542d0921adc449244e8df,gelement_69c9b257acfc4f2f8d20a5181068aa5c,primary,6,approved,
glesson_366fff0d896542d0921adc449244e8df,gelement_9178dcb4a70d491182a90ddbe7007557,primary,7,approved,
glesson_16cda7aefaaf49eebd4327366d43cb10,gelement_141f9a2540d54bb992a3dd93b01779f5,primary,1,approved,
glesson_16cda7aefaaf49eebd4327366d43cb10,gelement_eb0bf178e84f47e9ab0d0fbe7f2e47ee,primary,2,approved,
glesson_16cda7aefaaf49eebd4327366d43cb10,gelement_5d7de1cba7074c3fafc3146ad52142d8,primary,3,approved,
glesson_16cda7aefaaf49eebd4327366d43cb10,gelement_f8845848e285413f8514f7b9dccb6429,primary,4,approved,
glesson_16cda7aefaaf49eebd4327366d43cb10,gelement_6130f48ca8e442a7bca55ec058976199,primary,5,approved,
glesson_4352b1a2159746fd89c742e39cd0668f,gelement_9e115b6cf8c14f5681980d7a833bd59a,primary,1,approved,
glesson_ba7347a31d784cbca5182e1d566478fe,gelement_79d5cb73c61e4f7a8d326c75ad3ab198,primary,1,approved,
glesson_ba7347a31d784cbca5182e1d566478fe,gelement_311e553831a34543813310c7c33904aa,primary,2,approved,
glesson_25b211801b454d9ba2a99a519ff3d998,gelement_b8665d534c154fe5b4bde3595424c9a0,primary,1,approved,
glesson_7fb2f8481a4c4d02942993747c989fcc,gelement_e8bc3d2e18334230a6acce1a31620d92,primary,1,approved,
glesson_7fb2f8481a4c4d02942993747c989fcc,gelement_3fb8042e1ebb4a9dae3481700ac10540,primary,2,approved,
glesson_8045fc9617b844d1bea15d13eeab2498,gelement_a60d56763edd4758adf9fc03bb12fd01,primary,1,approved,
glesson_8045fc9617b844d1bea15d13eeab2498,gelement_ae55dd6f23c64d229debda563a429198,primary,2,approved,
glesson_8045fc9617b844d1bea15d13eeab2498,gelement_0848f17eaaf44eb793d8cad80c47e684,primary,3,approved,
glesson_774188c53155422ea5f9f9d9176814f4,gelement_4de22919d2d44c9a8077d864b648637a,primary,1,approved,
glesson_74aaea9ca06346b8b9c1126fb6e0915e,gelement_231cf6fc070548549013b3c5e8778a5c,primary,1,approved,
glesson_74aaea9ca06346b8b9c1126fb6e0915e,gelement_eb332a8ff1534de5822d30ceb310e18d,primary,2,approved,
glesson_0e77d991e9a346519efa66a6c5882497,gelement_e498f91673f64226b98be2a9dac0b18d,primary,1,approved,
glesson_a74fcd39ad2c4fb59a14ed3cf69e5f45,gelement_9b24ead5baa4441dba26d9a9e642cda1,primary,1,approved,
glesson_1a09481348024cffac4caba31e71ccb6,gelement_0e26489ecb7740a6a836ea4537dfb860,primary,1,approved,
glesson_5a0310b4cf854089997508807c121c78,gelement_ff8baf3e9fd2418481a45fac68dcc311,primary,1,approved,
glesson_5a0310b4cf854089997508807c121c78,gelement_8eaaf40fdfd046da939058da7452f7d3,primary,2,approved,
glesson_5a0310b4cf854089997508807c121c78,gelement_d1427939ada44d56b07a9d2be2d63987,primary,3,approved,
glesson_5a0310b4cf854089997508807c121c78,gelement_6d8fc2d31338471b85e14bd32c5395e6,primary,4,approved,
glesson_5a0310b4cf854089997508807c121c78,gelement_05f2c1c21f5f413c84ff097ec9e5a5ed,primary,5,approved,
glesson_5a0310b4cf854089997508807c121c78,gelement_6e1a60abc4d14070a7ce18433cdb9382,primary,6,approved,
glesson_b94351c5fad2413b9981abea6bd8ba95,gelement_1c6820a111df4063b7e43bbc9d54015f,primary,1,approved,
glesson_8a50ad5ec1cf47199bad98e7b15fbbfb,gelement_d3b7e732c22149f8a878c62c7e02922d,primary,1,approved,
glesson_2168b15d20824e47b75dfa55e28dbf3b,gelement_6568409fcccf4305be5dc259f7dc5734,primary,1,approved,
glesson_1fc581dad530442fa886235a4e4f7d9d,gelement_32a436e8e63a4a8287c1a424f9759738,primary,1,approved,
glesson_4d919eed7b9347febdef9633d1781586,gelement_1ccf20e7a20744f08a1bf3be2c6f6b58,primary,1,approved,
glesson_550e903fb0ab4a659570c5c0220af87d,gelement_39be1f69e9334636950e34f51d80623f,primary,1,approved,
glesson_627f84e67bba43b397e2c78ba24d0683,gelement_9c4a48936289472d87c9f7ac4ece82a7,primary,1,approved,
glesson_9a5f822d74fe4c839e358a1bc3acfd9b,gelement_ba781e25e5c9448e8a46f90acd57e89d,primary,1,approved,
glesson_29e6003d76324040b5569af989f757da,gelement_336155e1e97e47d4867aef6ae177cdba,primary,1,approved,
glesson_29e6003d76324040b5569af989f757da,gelement_13bcd1222d2b4141a300a9f0644af2d1,primary,2,approved,
glesson_29e6003d76324040b5569af989f757da,gelement_0a67f613d91347dcbc76bce790ee760e,primary,3,approved,
glesson_4eb138b94d8f4d2995ed9c5d082a8f28,gelement_0060b621bc9c4bea8558ca495dcda8da,primary,1,approved,
glesson_4eb138b94d8f4d2995ed9c5d082a8f28,gelement_3771007315904e76bc120a3ca4b75b2f,primary,2,approved,
glesson_4eb138b94d8f4d2995ed9c5d082a8f28,gelement_f23390ccfceb4bc6b2018dce2553b9d5,primary,3,approved,
glesson_4eb138b94d8f4d2995ed9c5d082a8f28,gelement_ba76d5fd71884925a41142508a990c4d,primary,4,approved,
glesson_a7ca54ff385649f5a6c3f1bfa66f4cba,gelement_1ec032ecc39a46b7baab34a526b7921d,primary,1,approved,
glesson_a7ca54ff385649f5a6c3f1bfa66f4cba,gelement_12de4653eab84bb09a0697cd0d70ab85,primary,2,approved,
glesson_537d191c1b5c4bb596cb5b0152173131,gelement_71447aceffe74483856fd2df975de125,primary,1,approved,
glesson_537d191c1b5c4bb596cb5b0152173131,gelement_028e92c3d3984fe690904f3f06fef5c8,primary,2,approved,
glesson_537d191c1b5c4bb596cb5b0152173131,gelement_a753bb69506343c3a185837985a8a6e7,primary,3,approved,
glesson_27ecd777a2564adaafe8770a1d6b61ba,gelement_7ad4332f431347d39f8637ab247b62cd,primary,1,approved,
glesson_27ecd777a2564adaafe8770a1d6b61ba,gelement_6792a39db526460a9147472507d83723,primary,2,approved,
glesson_27ecd777a2564adaafe8770a1d6b61ba,gelement_3cd62e2fb8f3470aad5da162e60036f5,primary,3,approved,
glesson_fc44a931c80d4e79b32a28b5c7e4c29c,gelement_b5c61d54bdd047e983d3cb755804aae3,primary,1,approved,
glesson_fc44a931c80d4e79b32a28b5c7e4c29c,gelement_202ba6d8af424058a3e64f24eeda3d44,primary,2,approved,
glesson_fc44a931c80d4e79b32a28b5c7e4c29c,gelement_f09db3f2b04749cdba41b20a14ef6b06,primary,3,approved,
glesson_fc44a931c80d4e79b32a28b5c7e4c29c,gelement_d902d09928274808a7f57c2e14ce2f9e,primary,4,approved,
glesson_59f6ebf93bea45fc8fd173609a6b93f7,gelement_61264ae401b145d2ac3a8e04f1c02f24,primary,1,approved,
glesson_d3d1433d431346659fad3a64d2d182b4,gelement_570bb8aec88b41a6aab59d9a131b0fb9,primary,1,approved,
glesson_65cef66ccadb4bda94ba9c6ba8ee5533,gelement_c17b2d9dae914028a5bd078908796f16,primary,1,approved,
glesson_605ba97eb84f4d5980bf26497ddab505,gelement_a9f5915116a0451ca6f4efbe49775f93,primary,1,approved,
glesson_30e3fcafb95040e2a6f3deee108b10e8,gelement_15fa1378a7a04f42a245629ed08fc3fc,primary,1,approved,
glesson_516cbfcecf1e41348048f4929d6e3627,gelement_6fe0423659034c669ce944fba716458e,primary,1,approved,
glesson_09d85cc1ba6e4814b12be153e06f304c,gelement_bcb67b35e0e4417c96a4a39017eaeb16,primary,1,approved,
glesson_c64087e117dd44169bd7781d5af92a73,gelement_91beea8e98ad4cc8875f7b61e310cf2c,primary,1,approved,
glesson_9cce8dd18eab4193b8fd140c593e243a,gelement_fba6462ed09d4e75b8d24bb09ba5007d,primary,1,approved,
glesson_53b9d25d39a241d0a380f9f6971ed5b3,gelement_8eb42fd503b6433b863ac05e64156496,primary,1,approved,
glesson_9529a9ee5dd346bcb03610816cefc5c7,gelement_5f9017ec1902408f928a526ac09af488,primary,1,approved,
glesson_7e7ea63f64d44d4882dfecb1f9a1b809,gelement_023ddbdfaa5547ac8c084c7fdc8071bf,primary,1,approved,
glesson_cd34aec214fe4a9cabbf2f3af75c073c,gelement_8d6da5f855fe4532a122111f858f9181,primary,1,approved,
glesson_a969cfb59bc94ffe9e4cfe7d987bed9c,gelement_b109789a94154c708fb7bb28b66ee4ea,primary,1,approved,
glesson_2591dabcc1884f9abb97f4a2f22ff0b6,gelement_10a03f265ed34b6e96bdbb01028a8b03,primary,1,approved,
glesson_da3d25b747b946389f9953cd5238b2f2,gelement_3f37492906d7467a8a4459e59bbc39a9,primary,1,approved,
glesson_63b7cbccafa74b23bbd5aa16e6d062da,gelement_806720070f57489c8a0cfe99adc46a81,primary,1,approved,
glesson_48a062355f864c48b758a0b01ef35199,gelement_ae30c784dfa743119e671d5c142bb21e,primary,1,approved,
glesson_2d8af7f2d3cf4844a8b8092c733e4ae6,gelement_d0fb623a01fe4919b7218b33479ffb36,primary,1,approved,
glesson_db21663d6ac94570a7bf0deebcd4c748,gelement_1d5f4d30470d479e87840416aa71bc0a,primary,1,approved,
glesson_2232c0c8bc1142afa9218cd5d1ed8c8b,gelement_5833ff2afdad4c84a88126ed6029713e,primary,1,approved,
glesson_1c532271cd2640b49271c5a329873b24,gelement_fab30cfa711444f3a7513679777f3819,primary,1,approved,
glesson_e905b001675443aca8517dd361e94872,gelement_592dd1d340a64895812be9c974a28f55,primary,1,approved,
glesson_36fbed7cb60f418fb1fcde9d82fc8d3c,gelement_f609c5b1b9874977ac1a4f5dd6f47604,primary,1,approved,
glesson_36fbed7cb60f418fb1fcde9d82fc8d3c,gelement_e5d6d033fb554376aaac73acde128aec,primary,2,approved,
glesson_f5920fa0a3c042a48c647c76dd37c313,gelement_e77a0788e3884ec8b812ca8fc3c85510,primary,1,approved,
glesson_f5920fa0a3c042a48c647c76dd37c313,gelement_644bcc35b2964dc99edefc3f5e98b45c,primary,2,approved,
glesson_21bd039e25d64151956190fa42876f2f,gelement_afad040d164d45c7a3e67745ca67dc73,primary,1,approved,
glesson_7152d114a79049a4993f58b6c7847994,gelement_0d3fcae3cb80440a8a9caad8e6978186,primary,1,approved,
glesson_7152d114a79049a4993f58b6c7847994,gelement_df7899e2d9ad4822bcb639977f92eae1,primary,2,approved,
glesson_945b84d2096b4309acee40e0e2adbc2b,gelement_38c782143598477ab4c6a0e0b1551e7b,primary,1,approved,
glesson_558b9ebc01934fa89f4eecfe76570426,gelement_97427567402341af8f99d0bf2119abe1,primary,1,approved,
glesson_558b9ebc01934fa89f4eecfe76570426,gelement_4ff9028033424c48bce1b9628fcf5149,primary,2,approved,
glesson_558b9ebc01934fa89f4eecfe76570426,gelement_b72213f8f5c0451dadb05fe672debcd7,primary,3,approved,
glesson_558b9ebc01934fa89f4eecfe76570426,gelement_0e7a9058985b4097a51b36b3d35d693a,primary,4,approved,
glesson_8e74d0cdc0324dcaa7ace1d175619c98,gelement_eb726b3d10d44245adabbb19d5e63b7c,primary,1,approved,
glesson_8e74d0cdc0324dcaa7ace1d175619c98,gelement_cf53be8b4bbb49b7b22becff4733ae70,primary,2,approved,
glesson_8e74d0cdc0324dcaa7ace1d175619c98,gelement_526a60a779d94a7caa5757078fdc2417,primary,3,approved,
glesson_b8e097ea884c4549b8f6422ad2a796a0,gelement_15ecab3be109435ca0ccffcc06d370fa,primary,1,approved,
glesson_8b0a999cf2e14b5ca047ac7de31d2997,gelement_2d5e65f0a6e140f1a9e2d9743847eee6,primary,1,approved,
glesson_8b0a999cf2e14b5ca047ac7de31d2997,gelement_d76a396b72c647999640435597e3ce19,primary,2,approved,
glesson_a91ecbb9ff784ac392a137fb2dbd5cdf,gelement_558ab6be40a541b5b41a7915df61e84e,primary,1,approved,
