vocab_id,level,hanzi,sense_number,product_active,published_surface_count,published_explicit_count,approved_surface_count,approved_explicit_count,published_surface_target_met,published_explicit_target_met,approved_surface_target_met,approved_explicit_target_met,curation_status
hsk26-v00185,1,时候,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00186,1,时间,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00187,1,事,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00188,1,是,,True,39,39,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00189,1,手机,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00190,1,书,,True,15,15,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00191,1,书店,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00192,1,水,,True,10,10,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00193,1,水果,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00194,1,睡,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00195,1,睡觉,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00196,1,说,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00197,1,说话,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00198,1,四,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00199,1,岁,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00200,1,他,,True,18,18,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00201,1,它,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00202,1,她,,True,11,11,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00203,1,他们,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00204,1,它们,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00205,1,她们,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00206,1,太,,True,7,7,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00207,1,天,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00208,1,天气,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00209,1,听,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00210,1,听见,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00211,1,同学,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00212,1,外,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00213,1,外边,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00214,1,玩,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00215,1,晚,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00216,1,晚饭,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00217,1,晚上,,True,9,9,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00218,1,喂,1,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00219,1,问,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00220,1,问题,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00221,1,我,,True,168,168,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00222,1,我们,,True,18,18,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00223,1,五,,True,6,6,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00224,1,午饭,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00225,1,喜欢,,True,12,12,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00226,1,下,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00227,1,下雨,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00228,1,下班,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00229,1,下课,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00230,1,下午,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00231,1,先生,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00232,1,现在,,True,12,12,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00233,1,想,,True,21,21,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00234,1,小,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00235,1,小朋友,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00236,1,小时,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00237,1,小学,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00238,1,小学生,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00239,1,些,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00240,1,写,,True,8,8,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00241,1,谢谢,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00242,1,新,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00243,1,星期,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00244,1,星期日,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00245,1,星期天,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00246,1,休息,,True,5,5,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00247,1,学,,True,3,3,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00248,1,学生,,True,10,10,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00249,1,学习,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00250,1,学校,,True,11,11,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00251,1,雪,,True,4,4,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00252,1,要,,True,8,8,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00253,1,也,,True,8,8,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00254,1,一,,True,26,26,0,0,True,True,False,False,legacy_unreviewed
hsk26-v00255,1,衣服,,True,11,11,0,0,True,True,False,False,legacy_unreviewed
